,Unnamed: 0,Determination of die stress using Kriging Models,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Define input,Parameter,Value,Unity,lowerrange,upperrange ,,,,,,,
1,die thickness,dt,0.24,mm,0.24,0.24,,,,,,,
2,solder thickness,t_solder,0.05,mm,0.02,0.08,,,,,,,
3,lead frame thickness,t_lf,0.2,mm,0.2,0.1,,,,,,,
4,,,,top2,,,MidDieStress,,,top2,,,MaxDieStress
5,,t_lf,t_solder,ci,theta,p,,,,ci,theta,p,
6,1,0.257,0.054,-24034.8048249347,1.15671496944823,1.94531249999999,-23926.82502150892,,,-1630.90194999118,1.02388281799907,1.5875,-1613.0421539443937
7,2,0.771,0.02,12872.8000920418,6.47309572823792,1.99374999999999,8673.643289517517,,,1033.87510173968,10.3460451879436,1.9984375,672.5437295850858
8,3,0.2,0.037,-551.502177230904,,,-550.8826081198957,,,-269.818858926371,,,-269.34429127292543
9,4,0.543,0.076,-3364.33233089526,co,,-2899.2886775223037,,,919.642918516164,co,,757.2209107609485
10,5,0.657,0.046,3791.84054880334,113.555436658505,,2946.433399333291,,,25.7069925017823,64.0533636848538,,19.12938232351606
11,6,0.429,0.041,-8079.62255125812,,,-7561.37893215914,,,-547.396228473575,,,-495.56732470017937
12,7,0.943,0.033,-7521.17041173196,,,-3922.7031386218355,,,-589.656029393151,,,-310.3226145843298
13,8,0.886,0.05,-1060.92776920968,,,-608.6345316695646,,,11.9714332232573,,,6.81853459981089
14,9,1,0.067,-1389.57573407675,,,-655.5324966018921,,,-417.981152643415,,,-203.15358107470894
15,10,0.314,0.0709999999999999,-13243.4214493118,,,-12983.097303154673,,,-2270.30232985776,,,-2187.4415109622205
16,11,0.6,0.029,-10046.3244908437,,,-8245.748616419687,,,-498.695436407363,,,-390.8554731897423
17,12,0.829,0.08,-745.042670745034,,,-463.16858402557716,,,-88.5821684756617,,,-53.73705655836049
18,13,0.714,0.063,-1035.01667389155,,,-753.0425400348274,,,65.2519082783001,,,45.62849625085926
19,14,0.371,0.024,-6267.39640872697,,,-6011.239725826625,,,-1357.6639792009,,,-1267.057623016349
20,15,0.486,0.059,-979.909616703155,,,-885.012645658088,,,-1645.56508947505,,,-1428.8694127405863
21,16,0.2842,0.0263,12402.8915944509,,,12241.338842392215,,,3052.60632689011,,,2974.287963265698
22,17,0.5789,0.0516,11094.1490161513,,,9311.8234872715,,,121.963119084334,,,97.93770618161581
23,18,0.7474,0.0389,-7743.72280873518,,,-5407.810277016225,,,-717.916944585894,,,-483.8103629708966
24,19,0.9158,0.0611,4548.8634261078,,,2485.4528804231736,,,61.185955333298,,,33.46318840084097
25,20,0.4526,0.0737,10225.9780747733,,,9408.703840161574,,,2375.07002786556,,,2104.2075473712457
26,21,0.967,0.023,5025.35161582365,,,2507.3902782609525,,,922.841952135805,,,467.7261160383274
27,22,0.233,0.065,17918.8617554041,,,17864.950155199964,,,1609.75566542272,,,1598.6911141521985
28,23,0.633,0.078,614.852777711306,,,487.4384668704159,,,214.207869399806,,,162.0106204172853
29,24,0.8,0.028,-4472.24673544802,,,-2905.100403509133,,,-278.183449224036,,,-175.59615816521912
30,25,0.333,0.047,12039.4277524751,,,11766.761307293355,,,-101.415653736463,,,-97.27164093291215
31,,,,,,,28.025881534065135,,,,,,27.64946891946343
32,,,,,,,,,,,,,
33,,,,top5,,,,,,bot2,,,
34,,t_lf,t_solder,ci,theta,p,,,,ci,theta,p,
35,1,0.257,0.054,-14817.9810181444,1.20136041124836,1.85,-14725.711356722644,,,3259.0598345721,1.04973750360118,1.55,3218.2072175979597
36,2,0.771,0.02,-2655.61014296104,13.4934301551463,1.975,-1711.5132976104655,,,2607.62109989007,14.7053848039497,2,1656.6274179678667
37,3,0.2,0.037,-1981.52233256869,,,-1976.4918736653892,,,871.255913983459,,,869.0933483736262
38,4,0.543,0.076,-3187.9471258299,co,,-2673.6322836182276,,,-1.12983411834232,co,,-0.9159825548595777
39,5,0.657,0.046,191.801174605631,-260.452682640291,,144.60944070914536,,,-383.067860086319,1.13868083716819,,-280.3736627902526
40,6,0.429,0.041,-264.582308143829,,,-244.2842533738084,,,862.222556158368,,,773.9131772823376
41,7,0.943,0.033,-9.04968637712482,,,-4.504074112408843,,,-895.985198655522,,,-460.02674824593083
42,8,0.886,0.05,766.319431131574,,,421.3073278849989,,,-624.762928940734,,,-347.95254548939107
43,9,1,0.067,-102.563329792062,,,-46.11421280759752,,,-242.678039635755,,,-114.97200680546723
44,10,0.314,0.0709999999999999,-6959.70837740935,,,-6766.331253051696,,,3274.62206594913,,,3137.635391341377
45,11,0.6,0.029,-9921.21300062847,,,-7905.690096386748,,,1602.62179144669,,,1235.5091489970996
46,12,0.829,0.08,-2124.10032426986,,,-1259.2963157423303,,,943.679755761249,,,558.2924298776925
47,13,0.714,0.063,-2150.92074493314,,,-1510.7987582640021,,,431.135703975954,,,295.8237209617194
48,14,0.371,0.024,-1566.84343007552,,,-1481.8418634503294,,,2339.53209288212,,,2164.208266144528
49,15,0.486,0.059,870.644220397189,,,772.352075162467,,,1112.86181106263,,,955.9282174371241
50,16,0.2842,0.0263,6803.97458483911,,,6664.795248587975,,,-6295.77788690568,,,-6104.074616245871
51,17,0.5789,0.0516,9454.34700915404,,,7744.118341742268,,,-1189.72078599736,,,-942.1845891908079
52,18,0.7474,0.0389,2787.36595224044,,,1876.1078904368283,,,-1866.53585626908,,,-1233.363084586644
53,19,0.9158,0.0611,-743.309962867529,,,-388.4068773524288,,,454.728765747175,,,242.9134711356837
54,20,0.4526,0.0737,-340.444862794826,,,-307.26292863093124,,,-3329.82803868959,,,-2916.1131686313474
55,21,0.967,0.023,377.350650483687,,,178.926091756617,,,990.87257025574,,,488.8321039376872
56,22,0.233,0.065,13361.7710907704,,,13287.759335703731,,,-2814.67216302318,,,-2790.5283743874957
57,23,0.633,0.078,3883.49342146248,,,2973.660027421207,,,-175.119683266712,,,-129.94385161493543
58,24,0.8,0.028,3286.95779662806,,,2045.9174636914263,,,-1688.75128161266,,,-1042.1659539171244
59,25,0.333,0.047,5041.77131508309,,,4898.144152172647,,,757.815595516228,,,723.6274536117508
60,,,,,,,-254.63473215999085,,,,,,-40.864538956505605
61,,,,,,,,,,,,,
62,,,,bot4,,,,,,bot4,,,
63,,t_lf,t_solder,ci,theta,p,,,,ci,theta,p,
64,1,0.257,0.054,100676.522377307,1.08077914464056,1.990625,100307.9898809256,,,473.344175108253,1.09618963769914,1.4296875,463.72110673853103
65,2,0.771,0.02,56823.6121682962,2.83226848589468,1.9484375,39752.1268979434,,,1853.27566416331,20.7505390255654,1.65,1063.1643633980336
66,3,0.2,0.037,15682.4423360572,,,15673.054735504213,,,-242.848482612441,,,-238.98575335423752
