,Unnamed: 0,Determination of die stress Using Quadratic Models,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,Define input,Parameter,Value,Unity,lowerrange,upperrange ,,Calculated coefficients (from COMPACT),,,,,MaxDieStress,
1,die thickness,dt,0.24,mm,0.24,0.24,,,C0,396.3811,,,C0,400.5307
2,solder thickness,t_solder,0.05,mm,0.02,0.08,,,C1,-580.956,,,C1,-526.041
3,lead frame thickness,t_lf,0.2,mm,0.2,0.1,,,C2,-1016.902,,,C2,-1041.334
4,,,,,,,,,C3,0.0,,,C3,0.0
5,,,,,,,,,C4,563.0356,,,C4,581.4864
6,,,,,,,,,C5,1004.6225,,,C5,913.2559
7,Results,Top Die Stress 1,196.520549,MPa,,,,,,,,,,
8,,(Sigma22=C0+C1*t_solder+C2*t_lf+C3*t_solder^2+C4*t_lf^2+C5*t_solder*t_lf),,,,,,,,,,,,
9,MaxDieStress,Top Die Stress 1,198.35386499999998,MPa,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,Bottom Die Stress 1,-318.8435359999999,MPa,,,,,C0,-571.4122,,,C0,-570.2312
13,,(Sigma22=C0+C1*t_solder+C2*t_lf+C3*t_solder^2+C4*t_lf^2+C5*t_solder*t_lf),,,,,,,C1,2702.144,,,C1,2675.525
14,MaxDieStress,Top Die Stress 1,-318.775443,MPa,,,,,C2,877.449,,,C2,875.648
15,,,,,,,,,C3,-11407.0,,,C3,-11240.0
16,,,,,,,,,C4,-484.481,,,C4,-483.5828
17,,,,,,,,,C5,-1013.1596,,,C5,-1000.6781
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,Top Die Stress 2,0,MPa,,,,,C0,0.0,,,C0,0.0
23,,(Sigma22=C0+C1*t_solder+C2*t_lf+C3*t_solder^2+C4*t_lf^2+C5*t_solder*t_lf),,,,,,,C1,0.0,,,C1,0.0
24,MaxDieStress,Top Die Stress 1,0,MPa,,,,,C2,0.0,,,C2,0.0
25,,,,,,,,,C3,0.0,,,C3,0.0
26,,,,,,,,,C4,0.0,,,C4,0.0
27,,,,,,,,,C5,0.0,,,C5,0.0
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,Bottom Die Stress2,-33.77249499999999,MPa,,,,,C0,-139.5042,,,C0,0.0
33,,(Sigma22=C0+C1*t_solder+C2*t_lf+C3*t_solder^2+C4*t_lf^2+C5*t_solder*t_lf),,,,,,,C1,533.624,,,C1,0.0
34,MaxDieStress,Top Die Stress 1,0,MPa,,,,,C2,505.666,,,C2,0.0
35,,,,,,,,,C3,0.0,,,C3,0.0
36,,,,,,,,,C4,-287.7365,,,C4,0.0
37,,,,,,,,,C5,-1057.3235,,,C5,0.0
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
